Participant ID ,5 degrees,10 degrees,15 degrees,20 degrees,25 degrees,30 degrees,35 degrees,40 degrees,45 degrees,50 degrees,55 degrees,60 degrees,65 degrees
1,0%,0%,0%,0%,0%,50%,25%,0%,75%,100%,100%,100%,100%
2,0%,0%,0%,0%,25%,0%,0%,75%,25%,100%,100%,100%,75%
3,0%,0%,0%,25%,0%,0%,0%,25%,25%,75%,75%,75%,100%
4,0%,0%,0%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%
5,0%,25%,0%,75%,100%,100%,100%,100%,100%,100%,100%,100%,100%
6,0%,0%,0%,0%,0%,75%,75%,100%,100%,100%,100%,100%,100%
7,75%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
8,0%,0%,0%,0%,0%,25%,100%,75%,50%,75%,75%,100%,100%
9,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,50%,75%,50%
10,0%,0%,0%,0%,0%,0%,0%,25%,50%,100%,100%,100%,100%
11,0%,25%,25%,25%,0%,25%,25%,75%,50%,100%,100%,100%,100%
12,25%,25%,0%,0%,0%,0%,75%,50%,0%,75%,75%,100%,100%
13,0%,0%,0%,50%,75%,100%,100%,100%,100%,100%,100%,100%,100%
14,25%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
15,0%,0%,0%,0%,0%,0%,50%,50%,75%,100%,100%,100%,100%
16,0%,25%,0%,25%,0%,0%,0%,0%,25%,50%,75%,100%,100%
